Posicion, Nombre, Puntos
1, Real Betis, 34
2, Real Madrid, 33
3, Real Oviedo, 26
4, Athletic, 25
5, Sevilla, 24
6, Barcelona, 24
7, Atlético, 21
8, Espanyol, 20
9, Valencia, 20
10, Racing, 17
11, Real Sociedad, 11
12, Arenas de Getxo, 9
1, Barcelona, 94
2, Real Madrid, 92
3, Atlético, 78
4, Valencia, 77
5, Sevilla, 76
6, Villarreal, 60
7, Athletic, 55
8, Celta, 51
9, Málaga, 50
10, Espanyol, 49
11, Rayo Vallecano, 49
12, Real Sociedad, 46
13, Elche, 41
14, Levante, 37
15, Getafe, 37
16, RC Deportivo, 35
17, Granada, 35
18, Eibar, 35
19, Almería, 29
20, Córdoba CF, 20
1, Barcelona, 79
2, Real Madrid, 68
3, Mallorca, 66
4, Valencia, 65
5, Celta, 64
6, RC Deportivo, 63
7, Espanyol, 61
8, Athletic, 60
9, Real Zaragoza, 57
10, Real Sociedad, 54
11, Real Betis, 49
12, Real Valladolid, 48
13, Atlético, 46
14, Real Oviedo, 45
15, Racing, 42
16, Deportivo Alavés, 40
17, CF Extremadura, 39
18, Villarreal, 36
19, Tenerife, 34
20, UD Salamanca, 27
